2016/11/5;15:15.2;39.94;94.83;4;ML;1.2;eq;¸ÊËà¶Ø»Í
2016/11/5;53:50.0;27.98;101.44;10;ML;1.8;eq;ËÄ´¨Ä¾Àï
2016/11/5;15:20.8;21.74;111.8;8;ML;1.1;eq;¹ã¶«Ñô½­
2016/11/5;32:18.7;40.74;78.19;10;ML;1.8;eq;ÐÂ½®°¢ºÏÆæ
2016/11/5;04:08.4;28.43;104.74;0;ML;1.2;se;ËÄ´¨³¤Äþ
2016/11/5;54:08.0;47.54;89.02;9;ML;1.2;eq;ÐÂ½®¸»ÔÌ
2016/11/5;46:52.4;42.13;84.71;11;ML;2.7;eq;ÐÂ½®ÂÖÌ¨
2016/11/5;09:06.0;27.01;102.85;2;ML;1.2;eq;ËÄ´¨ÄþÄÏ
2016/11/5;58:04.7;23.34;103.25;6;ML;2;eq;ÔÆÄÏ¸ö¾É
2016/11/5;23:17.8;27.94;101.39;10;ML;2;eq;ËÄ´¨Ä¾Àï
2016/11/5;08:45.1;26.53;103.14;6;ML;1.8;eq;ÔÆÄÏ»áÔó
2016/11/5;55:43.5;24.76;99.59;3;ML;1.8;eq;ÔÆÄÏ²ýÄþ
2016/11/5;28:22.8;32.86;94.86;7;ML;2.3;eq;Çàº£ÔÓ¶à
2016/11/5;27:30.7;40.04;116.99;10;ML;1.3;eq;±±¾©Æ½¹È
2016/11/5;18:58.6;41.19;78.88;6;ML;1.4;eq;ÐÂ½®ÎÚÊ²
2016/11/5;18:22.7;29.59;104.83;6;ML;2.5;eq;ËÄ´¨×ÊÖÐ
2016/11/5;09:07.0;29.58;104.77;5;ML;2;eq;ËÄ´¨ÍþÔ¶
2016/11/5;54:00.0;29.65;104.79;2;ML;1.7;eq;ËÄ´¨×ÊÖÐ
2016/11/5;17:33.7;32.87;94.86;7;ML;2.3;eq;Çàº£ÔÓ¶à
2016/11/5;52:29.3;42.46;86.58;5;ML;1.3;eq;ÐÂ½®ºÍ¾²
2016/11/5;22:06.6;25.7;101.24;5;ML;1.6;eq;ÔÆÄÏ´óÒ¦
2016/11/5;14:41.6;40.05;94.93;7;ML;1.9;eq;¸ÊËà¶Ø»Í 
2016/11/5;05:30.0;27.93;101.36;11;ML;1.1;eq;ËÄ´¨Ä¾Àï
2016/11/5;50:21.2;38.36;100.31;8;ML;2.2;eq;Çàº£ÆîÁ¬
2016/11/5;17:14.1;29.6;104.77;2;ML;2.7;eq;ËÄ´¨×ÊÖÐ
2016/11/5;07:59.1;40.07;76.75;8;ML;1.7;eq;ÐÂ½®°¢Í¼Ê²
2016/11/5;44:34.3;32.85;94.89;9;ML;1.4;eq;Çàº£ÔÓ¶à
2016/11/5;09:30.1;32.54;105.03;2;ML;1.1;eq;ËÄ´¨Çà´¨
2016/11/5;49:10.9;31.84;104.27;14;ML;1.7;eq;ËÄ´¨±±´¨
2016/11/5;44:34.1;30.64;97.61;6;ML;2.4;eq;Î÷²Ø²ìÑÅ
2016/11/5;43:58.7;32.84;94.89;9;ML;1.1;eq;Çàº£ÔÓ¶à
2016/11/5;41:32.4;32.84;94.89;9;ML;1.7;eq;Çàº£ÔÓ¶à
2016/11/5;35:12.2;30.63;97.63;6;ML;2.6;eq;Î÷²Ø²ìÑÅ
2016/11/5;20:09.5;47.06;85.25;14;ML;1.6;eq;ÐÂ½®ºÍ²¼¿ËÈü¶û
2016/11/5;51:20.7;32.84;94.88;9;ML;1.1;eq;Çàº£ÔÓ¶à
2016/11/5;44:33.2;33.37;104.76;6;ML;1.3;eq;¸ÊËàÎä¶¼
2016/11/5;22:01.0;29.51;102.17;6;ML;1.8;eq;ËÄ´¨Ê¯ÃÞ
2016/11/5;17:00.6;27.92;101.4;9;ML;1.3;eq;ËÄ´¨Ä¾Àï
2016/11/5;05:56.1;39.66;118.38;11;ML;1.2;eq;ºÓ±±ÌÆÉ½
2016/11/5;04:26.5;29.66;104.87;2;ML;2;eq;ËÄ´¨×ÊÖÐ
2016/11/5;03:52.4;32.85;94.87;9;ML;1.3;eq;Çàº£ÔÓ¶à
2016/11/5;54:52.9;41.96;91.61;12;ML;1.5;eq;ÐÂ½®Û·ÉÆ
2016/11/5;42:24.6;24.96;99.21;4;ML;1.5;eq;ÔÆÄÏÂ¡Ñô
2016/11/5;40:15.2;32.85;94.87;9;ML;1.8;eq;Çàº£ÔÓ¶à
2016/11/5;38:19.6;29.12;102.42;24;ML;1.2;eq;ËÄ´¨Ê¯ÃÞ
2016/11/5;29:05.8;36.38;102.88;6;ML;2.3;eq;¸ÊËàÀ¼ÖÝ
2016/11/5;52:57.8;32.84;94.83;9;ML;1.4;eq;Çàº£ÔÓ¶à
2016/11/5;39:12.3;27.09;103.4;8;ML;2.2;eq;ÔÆÄÏÂ³µé
2016/11/5;20:58.9;27.94;101.4;4;ML;1.6;eq;ËÄ´¨Ä¾Àï
2016/11/5;54:45.5;27.98;101.42;7;ML;1.7;eq;ËÄ´¨Ä¾Àï
2016/11/5;50:13.0;26.15;99.82;7;ML;1.9;eq;ÔÆÄÏ¶ýÔ´
2016/11/5;23:11.8;26.09;99.56;4;ML;1.7;eq;ÔÆÄÏ¶ýÔ´
2016/11/5;21:24.4;29.61;104.86;2;ML;1.3;eq;ËÄ´¨×ÊÖÐ
2016/11/5;03:08.1;46.89;89.9;10;ML;1.2;eq;ÐÂ½®ÇàºÓ
2016/11/4;23:05.2;27.96;101.41;9;ML;1.5;eq;ËÄ´¨Ä¾Àï
2016/11/4;04:25.1;27.94;101.41;2;ML;1.2;eq;ËÄ´¨Ä¾Àï
2016/11/4;39:01.9;29.64;104.8;2;ML;1.7;eq;ËÄ´¨×ÊÖÐ
2016/11/4;17:11.0;33.91;96.87;10;ML;2.3;eq;Çàº£³Æ¶à
2016/11/4;07:09.0;37.25;105.38;9;ML;1.4;eq;ÄþÏÄÖÐÎÀ
2016/11/4;33:48.8;37.54;98.04;7;ML;2.1;eq;Çàº£µÂÁî¹þ
2016/11/4;17:44.2;39.63;118.2;11;ML;1.4;eq;ºÓ±±ÌÆÉ½
2016/11/4;34:33.8;27.01;103.42;3;ML;1.5;eq;ÔÆÄÏÇÉ¼Ò
2016/11/4;23:08.6;25.03;99.91;5;ML;1.7;eq;ÔÆÄÏ²ýÄþ
2016/11/4;45:17.2;40.57;108.49;6;ML;1.3;eq;ÄÚÃÉ¹Åº¼½õÆì
2016/11/4;18:40.2;25.06;98.74;5;ML;1.2;eq;ÔÆÄÏÌÚ³å
2016/11/4;12:55.5;25;98.71;10;ML;1.3;eq;ÔÆÄÏÌÚ³å
2016/11/4;07:29.4;29.69;104.82;2;ML;2.1;eq;ËÄ´¨×ÊÖÐ
2016/11/4;04:10.9;31.9;104.5;4;ML;1.3;eq;ËÄ´¨±±´¨
2016/11/4;54:34.6;41.02;95.47;6;ML;2.1;eq;¸ÊËà¹ÏÖÝ
2016/11/4;49:11.6;26.38;103.28;7;ML;2;eq;ÔÆÄÏ»áÔó
2016/11/4;45:54.9;26.06;99.6;5;ML;1.5;eq;ÔÆÄÏ¶ýÔ´
2016/11/4;16:31.2;40.37;77.13;6;ML;1.6;eq;ÐÂ½®°¢Í¼Ê²
2016/11/4;13:01.9;23.67;114.67;11;ML;1.8;eq;¹ã¶«ºÓÔ´
2016/11/4;43:16.4;38.92;99.82;7;ML;1.8;eq;¸ÊËàËàÄÏ
2016/11/4;40:01.7;44.17;92.25;9;ML;1.9;eq;ÐÂ½®°ÍÀïÀ¤
2016/11/4;19:22.0;29.59;104.76;1;ML;2.4;eq;ËÄ´¨ÍþÔ¶
2016/11/4;04:30.6;34.46;109.17;17;ML;1.8;eq;ÉÂÎ÷¸ßÁê
2016/11/4;01:53.7;29.62;104.82;2;ML;2;eq;ËÄ´¨×ÊÖÐ
2016/11/4;55:02.1;29.66;104.83;2;ML;1.7;eq;ËÄ´¨×ÊÖÐ
2016/11/4;36:25.0;31.54;100.99;1;ML;2.3;eq;ËÄ´¨Â¯»ô
2016/11/4;28:35.4;33.35;103.74;4;ML;1.7;eq;ËÄ´¨¾ÅÕ¯¹µ
2016/11/4;06:12.8;32.85;94.87;8;ML;2.7;eq;Çàº£ÔÓ¶à
2016/11/4;05:45.0;32.85;94.9;8;ML;2.9;eq;Çàº£ÔÓ¶à
2016/11/4;53:41.5;41.9;109.9;0;ML;2.9;ep;ÄÚÃÉ¹Å´ï¶ûº±Ã¯Ã÷°²ÁªºÏÆì
2016/11/4;50:01.9;31.59;115.93;7;ML;2.4;eq;°²»Õ½ðÕ¯
2016/11/4;46:33.0;28.46;104.4;10;ML;1.4;eq;ËÄ´¨ÒË±ö
2016/11/4;44:28.4;38.34;100.32;7;ML;2.2;eq;Çàº£ÆîÁ¬
2016/11/4;42:12.8;28.4;104.83;7;ML;1.3;eq;ËÄ´¨çîÏØ
2016/11/4;51:12.2;25;98.7;5;ML;2.1;eq;ÔÆÄÏÌÚ³å
2016/11/4;48:12.2;48.87;126.82;0;ML;2.5;ep;ºÚÁú½­Îå´óÁ¬³Ø
2016/11/4;46:30.5;29.58;104.77;2;ML;1.8;eq;ËÄ´¨ÍþÔ¶
2016/11/4;28:54.4;43.15;92.52;5;ML;1.7;eq;ÐÂ½®¹þÃÜ
2016/11/4;59:42.5;43.14;92.54;12;ML;1.9;eq;ÐÂ½®¹þÃÜ
2016/11/4;56:12.4;45.04;90.25;12;ML;1.4;eq;ÐÂ½®ÆæÌ¨
2016/11/4;35:58.4;44.13;94.78;11;ML;1.9;eq;ÐÂ½®ÒÁÎá
